ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
600359.SH,新农开发,种植业,2→3,4,0.48389275415257327,1,0.368878092101652,0.368878092101652,0.9076046073148388,0.4064303873390232,False,1
600792.SH,云煤能源,焦炭Ⅱ,3→4,5,0.40016692764948036,2,0.34819390774848985,0.34819390774848985,0.9570687027567649,0.36381286604142765,False,1
603421.SH,鼎信通讯,通信设备,2→3,7,0.29371870051465526,3,0.3173857859600182,0.3173857859600182,0.9100914111542548,0.3487405573441054,False,1
600192.SH,长城电工,电网设备,2→3,8,0.24327563225938267,4,0.314044511120234,0.314044511120234,0.9296952500138536,0.33779296077457033,False,1
000565.SZ,渝三峡Ａ,化学制品,2→3,3,0.5011790922052574,5,0.2956825502312528,0.2956825502312528,0.9120618158613375,0.3241913487541572,False,1
000993.SZ,闽东电力,电力,2→3,6,0.3801339831860335,6,0.2908435894053589,0.2908435894053589,0.9319592587486717,0.31207757922365664,False,1
002790.SZ,瑞尔特,家居用品,3→4,1,0.6315548838490769,7,0.28022216278665396,0.28022216278665396,0.7674574881382131,0.36513053441754695,False,1
002377.SZ,国创高新,炼化及贸,2→3,2,0.622259060787391,8,0.27549130695951424,0.27549130695951424,0.8796355937458884,0.31318799389000046,False,1
