ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
603269.SH,海鸥股份,通用设备,2→3,9,0.3077953767581772,1,0.31579417939613963,0.31579417939613963,0.9625775880763978,0.32807140256321415,False,1
603011.SH,合锻智能,专用设备,2→3,10,0.25833832901184434,2,0.3108508177255182,0.3108508177255182,0.9839685733652221,0.3159153921576913,False,1
600162.SH,香江控股,房地产开发,2→3,8,0.35934736322878613,3,0.3011331058075073,0.3011331058075073,0.9518288283385253,0.31637317219436745,False,1
002942.SZ,新农股份,农化制品,3→4,6,0.40300975638897807,4,0.29679070280780234,0.29679070280780234,0.9770784663551753,0.30375319181368254,False,1
600654.SH,中安科,软件开发,2→3,5,0.4149372673347629,5,0.2725702832884048,0.2725702832884048,0.8965905160736126,0.30400754681418696,False,1
600479.SH,千金药业,中药Ⅱ,3→4,7,0.37084497443679976,6,0.26921356395105706,0.26921356395105706,0.9713611459748406,0.2771508465894826,False,1
002886.SZ,沃特股份,塑料,2→3,2,0.6028465363572788,7,0.2547451502480597,0.2547451502480597,0.7621032655675505,0.3342659213752967,False,1
603900.SH,莱绅通灵,饰品,2→3,4,0.4711006519443423,8,0.24492346344849442,0.24492346344849442,0.7605257292604003,0.3220449407894178,False,1
000712.SZ,锦龙股份,证券Ⅱ,3→4,3,0.5854469896313731,9,0.24025885717552461,0.24025885717552461,0.8771055852699283,0.2739223888325659,False,1
600540.SH,新赛股份,种植业,2→3,1,0.7315741223905382,10,0.21628252572703388,0.21628252572703388,0.6800205400897139,0.3180529307225045,False,1
